General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"U-BX was incorporated on June 30, 2021, in the Cayman Islands. U-BX does not have material operations of its own. We conduct business through the PRC Operating Entities. Since U-BX China’s establishment in 2018, the PRC Operating Entities have focused on providing value-added services using artificial intelligence-driven technology to businesses within the insurance industry, including insurance carriers and brokers. Our PRC Operating Entities’ business primarily consists of providing the following three services/products: i) digital promotion services, ii) risk assessment services, and iii) value-added bundled benefits. We help our institutional clients obtain visibility on various social media platforms and generate our revenue based on consumers’ clicks, views or our clients’ promotion time through those channels. We have also developed a unique algorithm and named it the “Magic Mirror” to calculate payout risks for insurance carriers to underwrite auto insurance coverage. Utilizing our proprietary algorithmic model, we are able to generate individualized risk reports based on the vehicle brand, model, travel area, and vehicle age. In turn, we are able to generate revenue based on the number of assessment reports we provide to the insurance carriers. Lastly, to help major insurance carriers or brokers attract their customers, we sell bundled benefits, including car wash, maintenance plan or parking notification, to these carriers, which they may then pass onto their customers for either low or no cost. In addition to servicing institutional customers, we provide up-to-date insurance-related information to individual consumers through our mini-application embedded in other social media platforms. The information is provided to educate consumers and insurance brokers about the insurance industry, thus helping us build a stronger brand image with the general public. At present, our client base consists of more than 300 city-level property and auto insurance carriers nationwide, in addition to approximately 200,000 insurance brokers that use our products and services to conduct business on a daily basis. Some of our clients include large corporations such as the People’s Insurance Company of China, Dajia Property Insurance Co., Ltd., China Pacific Property Insurance Co., Ltd., China Life Property Insurance Co., Ltd., Yongcheng Property Insurance Co., Ltd., Huatai Insurance Brokers Co., Ltd. **Note: Revenue and net loss figures are in U.S. dollars for the year ended June 30, 2021.","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",36,2018,Contact Information,"Zhongguan Science and Technology Park No. 1 Linkong Er Road, Shunyi District, Beijing People’s Republic of China",+86 10 0651-20297,,U-BX Technology Ltd.,Financial Information,$142.5mil,$72.36 mil (last 12 months),$-9.56 mil (last 12 months),IPO Profile,UBXG,NASDAQ,6.0,$4.50 - $5.50,$30.0 mil,"Boustead Securities, LLC",,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"The bank operates 11 branches located throughout Miami-Dade and Broward counties in South Florida. Deposits are insured by the Federal Deposit Insurance Corp. (FDIC) up to the legal limit. U.S. Century Bank’s branches are located in Aventura, Coral Gables, Doral, Hialeah, Hialeah Gardens, Hollywood, Miami (4) and Miami Lakes. (Note: U.S. Century Bank priced its IPO on July 22, 2021, at $10 – the low end of its $10-to-$12.50 range – and sold 4 million shares, up from 3.56 million in the offering circular, to raise $40 million.)",Financial Services,175,202,Contact Information,,(305) 715-5200,http://uscentury.com/,U.S. Century Bank,Financial Information,,$ mil (last 12 months),$ mil (last 12 months),IPO Profile,USCB,NASDAQ,4.0,$10.00 - $10.00,$40.0 mil,"Keefe, Bruyette & Woods (a Stifel company)",Raymond James & Associates/ Piper Sandler & Co. ar,7/23/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We believe deeply in our bold mission. Every minute of every day, consumers and Drivers on our platform can tap a button and get a ride or tap a button and get work. We revolutionized personal mobility with Ridesharing, and we are leveraging our platform to redefine the massive meal delivery and logistics industries. While we have had unparalleled growth at scale, we are just getting started: only 2% of the population in the 63 countries where we operate used our offerings in the quarter ended December 31, 2018, based on MAPCs.",LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRAINS,22263,2010,Contact Information,"1455 Market Street, 4th Floor San Francisco, CA 94103, US",(415) 612-8582,http://www.uber.com,Uber Technologies,Financial Information,$75713.4mil,$11270.0 mil (last 12 months),$997.0 mil (last 12 months),IPO Profile,UBER,NYSE,180.0,$45.00 - $45.00,$8100.0 mil,Morgan Stanley/ Goldman Sachs/ BofA Merrill Lynch/ Barclays/ Citigroup/ Allen & Company,RBC Capital Markets/ SunTrust Robinson Humphrey/ Deutsche Bank Securities/ HSBC/ SMBC/ Mizuho Securities/ Needham & Company/ Loop Capital Markets/ Siebert Cisneros Shank/ Academy Securities/ BTIG/ Canaccord Genuity/ CastleOak Securities/ Cowen/ Evercore ISI/ JMP Securities/ Macquarie Capital/ Mischler Financial Group/ Oppenheimer/ Raymond James/ William Blair/ The Williams Capital Group/ TPG Capital BD,5/10/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are the world’s first and leading mobile data traffic sharing marketplace, according to Frost & Sullivan. We are the pioneer of introducing the sharing economy business model into the telecommunications industry, creating a marketplace for mobile data traffic. Leveraging our innovative cloud SIM technology and architecture, we redefine the mobile data connectivity experience, allowing users to gain access to mobile data traffic allowance shared by network operators on our marketplace. We have aggregated mobile data traffic allowances from 230 mobile network operators (MNOs) in 144 countries and regions in our cloud SIM architecture.",COMMUNICATION SERVICES,777,2014,Contact Information,"Room 2118-2119, 21/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong",+852 2180-6111,http://www.ucloudlink.com,uCloudlink Group,Financial Information,$506.8mil,$167.2 mil (last 12 months),$7.2 mil (last 12 months),IPO Profile,UCL,NASDAQ,2.0,$18.00 - $18.00,$36.2 mil,I-Bankers Securities/ Valuable Capital Limited,Tiger Brokers,6/10/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are China’s leading co-working community operator with global impact and ambitions. We operate the largest co-working space community in China in terms of the number of co-working spaces, aggregate managed area and number of cities covered in China as of September 30, 2019, according to Frost & Sullivan. Our nationwide co-working space network covers economically vibrant regions, including all the tier-1 and new tier-1 cities in China. Such unique and comprehensive network provides our enterprise members with flexible and cost-efficient office space solutions, helping them to expand into new geographic locations and enhance productivity.",MISCELLANEOUS BUSINESS SERVICES,751,,Contact Information,"Floor 8, Tower D, No.2 Guang Hua Road, Chaoyang District, Beijing, People's Republic of China",+8610 6506-7789,https://www.ucommune.com,Ucommune Group Holdings,Financial Information,,$147.9 mil (last 12 months),$-106.1 mil (last 12 months),IPO Profile,UK,NYSE,0.0,$0.00 - $0.00,$100.0 mil,Haitong International/ China Renaissance,The Core Securities/ Prime Number Capital/ CRIC Securities,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Our mission is to create new possibilities for people and organizations everywhere by connecting them to the knowledge and skills they need to succeed in a changing world. Our marketplace platform, with thousands of up-to-date courses in dozens of languages, provides the tools that learners, instructors, and enterprises need to achieve their goals and reach their full potential. We believe traditional education and training methods are fast becoming outdated. Technological advancements and novel industries have significantly altered the types of skills required of workers, and lifelong training and continuous skills acquisition are becoming the norm. Udemy operates a two-sided marketplace where our instructors develop content to meet learner demand. Courses can be accessed through our direct-to-consumer or Udemy Business, or UB, offerings. Our platform provides over 44 million learners with access to over 183,000 courses in 75 languages and over 180 countries. Since inception, more than 73 million users have registered with Udemy. Udemy courses address learning objectives such as reskilling or upskilling in technology and business, enhancing soft skills, and personal development. We analyze platform data to better determine our learners’ needs, helping us match individuals with relevant courses and, within UB, learning paths for a more personalized experience. Our learners also receive access to interactive learning tools such as quizzes, exercises, and instructor questions-and-answers, or Q&A. (Note: Udemy priced its IPO on Oct. 28, 2021, at $29 – the top of its $27-to-$29 price range – on 14.5 million shares, the same number of shares in the prospectus, to raise $420.5 million.)",Online education,1013,2010,Contact Information,"600 Harrison Street, 3rd Floor, San Francisco, California 94107",(415) 813-1710,http://www.udemy.com/,"Udemy, Inc.",Financial Information,$3847.96mil,$479.17 mil (last 12 months),$-54.55 mil (last 12 months),IPO Profile,UDMY,NASDAQ,14.5,$29.00 - $29.00,$420.5 mil,Morgan Stanley/ J.P. Morgan/ Citigroup/ BofA Securities/ Jefferies/ Truist Securities,KeyBanc Capital Markets/ Piper Sandler/ William Blair/ Baird/ Needham & Co.,10/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Our mission is to unlock human creativity and ingenuity by enabling the fully automated enterpriseTM and empowering workers through automation. Our platform is designed to transform the way humans work. We provide our customers with a robust set of capabilities to discover automation opportunities and build, manage, run, engage, measure, and govern automations across departments within an organization. Our platform leverages the power of artificial intelligence – or AI-based computer vision to enable our software robots to perform a vast array of actions as a human would when executing business processes. These actions include, but are not limited to, logging into applications, extracting information from documents, moving folders, filling in forms, and updating information fields and databases. As of Jan. 31, 2020, we had 6,009 customers, including 80% of the Fortune 10 and 61% of the Fortune Global 500. As of Jan. 31, 2021, we had 7,968 customers, including 80% of the Fortune 10 and 63% of the Fortune Global 500. Our customers span a variety of industries and include Adobe, Applied Materials, Chevron, Chipotle Mexican Grill, CrowdStrike, CVS Health, Deutsche Post DHL, EY, Generali, KDDI, SBA Communications, Takeda Pharmaceuticals, and Uber Technologies, Inc. (Note: UiPath priced its upsized IPO on April 20, 2021, at $56 – above its upwardly increased price range of $52 to $54 – on 23.89 million shares, in line with the increased terms filed on April 19, to raise about $1.34 billion. In an S-1/A filing dated April 19, 2021, UiPath increased the size of its IPO by 28 percent to 23.89 million shares, up from 21.28 million shares initially, and raised the price range to $52 to $54, up from an $43 to $50.)",PREPACKAGED SOFTWARE,2863,2005,Contact Information,"90 Park Ave, 20th Floor New York, New York 10016",(844) 432-0455,http://www.uipath.com/,"UiPath, Inc.",Financial Information,$29072.4mil,$607.6 mil (last 12 months),$-92.4 mil (last 12 months),IPO Profile,PATH,NYSE,23.9,$56.00 - $56.00,$1337.9 mil,Morgan Stanley/ JPMorgan/ BofA Securities/ Credit Suisse/ Barclays/ Wells Fargo Securities,SMBC Nikko/ BMO Capital Markets/ Mizuho Securities USA/ KeyBanc Capital Markets/ TD Securities (USA)/ Truist Securities/ Cowen/ Evercore Group/ Macquarie Capital (USA)/ Nomura/ RBC Capital Markets/ Canaccord Genuity/ D. A. Davidson & Co./ Oppenheimer & Co./ Needham & Co.,4/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a biotechnology company dedicated to developing treatments for certain medical conditions. Two of our programs are focused on kidney disease: Renazorb, for treatment of hyperphosphatemia in patients with chronic kidney disease, and UNI 494, for treatment of acute kidney injury (AKI). Renazorb and UNI 494 were initially developed by, and licensed to us from Spectrum Pharmaceuticals (“Spectrum”) and Sphaera Pharmaceuticals, respectively. Spectrum conducted a Phase 1 clinical trial with Renazorb in 2012 prior to the grant of our license in 2018. Sphaera conceived, and performed initial characterization of, various potential pro-drug linkers, including the initial patent application, and performed some initial physiochemical characterization and preliminary animal pharmacokinetic studies. During 2020, we conducted preclinical studies with UNI 494. Chronic kidney disease (CKD) is the gradual loss of kidney function that can get worse over time leading to lasting damage. Our initial focus is on developing drugs and getting them approved in the U.S., and then to partner with global biopharmaceutical companies in the rest of the world. According to estimates by The Centers for Disease Control and Prevention (CDC) in 2019, 37 million adults in the United States have CKD and, of these, about 2 million patients have CKD Stage 3-5, and around 400,000 patients with end-stage renal disease (ESRD) have hyperphosphatemia. In the European Union, around 20 million adults have CKD, more than 1 million are CKD Stage 3-5 patients, and about 180,000 patients with ESRD have hyperphosphatemia. The number of patients with ESRD is increasing steadily and is projected to reach between 971,000 and 1.26 million in 2030. AKI is a sudden episode of kidney failure or kidney damage (within the first 90 days of injury). After 90 days, the patient is considered to have progressed into CKD. AKI affects over 2 million U.S. patients and costs the healthcare system over $9 billion per year. AKI kills more than 300,000 patients per year in the U.S. and is caused by multiple etiologies. Our business model is to license technologies and drugs and pursue development, regulatory approval, and commercialization of those products in global markets. Many biotechnology companies utilize similar strategies of in-licensing and then developing and commercializing drugs. We believe, however, that our management team’s broad network, expertise in the biopharmaceutical industry, and successful track record gives us an advantage in identifying and bringing these assets into our company at an attractive price with limited upfront cost. (Note: Unicycive Therapeutics priced its IPO on July 12, 2021, by slightly increasing the number of units to 5 million, up from 4.55 million in the prospectus, at $5 – the low end of its $5-to-$6 range – to raise $25 million. The company cut its IPO on June 30, 2021, to 4.55 million units at $5 to $6 each – down from 6.7 million units at $5.50 to $6.50 each. This followed the deal’s shift to a unit offering in an S-1/A filing dated June 21, 2021 – and those terms represented a change from its initial filing for an IPO of 2.65 shares at $8.50 to $10.50 each.)",PHARMACEUTICAL PREPARATIONS,7,2016,Contact Information,"5150 El Camino Real, Suite A-32, Los Altos, CA 94022",(650) 351-4495,http://www.unicycive.com.,Unicycive Therapeutics,Financial Information,$76.89mil,$0 mil (last 12 months),$-2.26 mil (last 12 months),IPO Profile,UNCY,NASDAQ,5.0,$5.00 - $5.00,$25.0 mil,Roth Capital Partners,-,7/13/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on businesses in Latin America within sectors that are underrepresented on public exchanges, including but not limited to natural resources, industrial operations and financial services and technology sectors, and therefore represent the potential for valuation arbitrage between private M&A comparables and public valuations.",BLANK CHECKS,0,2019,Contact Information,"509 Madison Ave, Ninth Floor, New York, NY 10022, US",(212) 981-0630,,Union Acquisition Corp. II,Financial Information,$218.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LATNU,NASDAQ,17.5,$10.00 - $10.00,$175.0 mil,Cantor,Exos Securities/ Arcadia Securities,10/18/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Unity is the world’s leading platform for creating and operating interactive, real-time 3D content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers and others, use Unity to make their imaginations come to life. Our platform provides a comprehensive set of software solutions to create, run and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices. As of June 30, 2020, we had approximately 1.5 million monthly active creators in over 190 countries and territories worldwide. The applications developed by these creators were downloaded over three billion times per month in 2019 on over 1.5 billion unique devices.",PREPACKAGED SOFTWARE,3379,2004,Contact Information,"30 3rd Street San Francisco, California 94103",(415) 539-3162,https://www.unity.com,Unity Software Inc.,Financial Information,$13695.24mil,$640.34 mil (last 12 months),$-150.22 mil (last 12 months),IPO Profile,U,NYSE,25.0,$52.00 - $52.00,$1300.0 mil,Goldman Sachs/ Credit Suisse/ BofA Securities/ Barclays/ William Blair,Oppenheimer/ Piper Sandler/ Stifel/ Wedbush Securities/ Academy Securities/ Siebert Williams Shank,9/18/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a pharmaceutical company based in Jiangxi, China, specializing in the manufacturing, marketing, sales and distribution of traditional Chinese medicine derivatives (“TCMD”) products targeting the elderly with the goal of addressing their physical conditions in the aging process and to promote their general well-being. We have registered and obtained approval for 26 varieties of TCMD products from the National Medical Products Administration (the “NMPA”), and we currently produce 13 varieties of TCMD products, which are sold in approximately 261 cities of 30 provinces in China as of the date of this prospectus. In addition, through our subsidiary Jiangxi Universe Pharmaceuticals Commercial Trade Co., Ltd. (“Universe Trade”), we sell not only our own TCMD products, but also biomedical drugs, medical instruments, Traditional Chinese Medicine Pieces (“TCMPs”), and dietary supplements manufactured by third-party pharmaceutical companies.",Pharmaceuticals,56,1998,Contact Information,"265 Jingjiu Avenue Jinggangshan Economic and Technological Development Zone Ji’an, Jiangxi, China 343100",+86-0796-8403309,http://www.dzrzy.com,Universe Pharmaceuticals,Financial Information,$126mil,$30.7 mil (last 12 months),$8.4 mil (last 12 months),IPO Profile,UPC,NASDAQ,5.0,$5.00 - $5.00,$25.0 mil,"Univest Securities, LLC",-,3/23/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
