uw_price,uw_rank,socre,Underwriter Name,Rank8084,Rank8591,Rank9200,Rank0104,Rank0507,Rank0809,Rank1011,Rank1217,Rank1820,Unnamed: 10
 CIBC,CIBC Wood Gundy Securities,100,CIBC Wood Gundy Securities,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
"Cohen & Company Capital Markets, LLC   I-Bankers Securities",AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 PNC Capital Markets,AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,100,SunTrust Robinson Humphrey,-9.0,-9.0,-9.0,6.001,6.001,6.001,6.501,6.501,7.001,
Morgan Stanlry,Morgan Stanley,93,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Sandler ONeill & Partners,Sandler O'Neill Partners,94,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Deutsche Bank,Deutsche Bank Capital (NY),100,Deutsche Bank Capital (NY),-9.0,9.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Thomas Weisel,Thomas Weisel Partners LLC,100,Thomas Weisel Partners LLC,-9.0,-9.0,8.001,8.001,8.001,7.001,7.001,,,
 Evercore Group,Evercore,100,Evercore,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,
 Moelis & Company,Moelis,100,Moelis,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,6.001,
Mizuho Securities,Mizuho Securities,100,Mizuho Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.501,7.501,
Banc of America,Banc of America Securities LLC,100,Banc of America Securities LLC,-9.0,-9.0,8.001,8.001,8.001,8.001,-9.0,,,
 Cowen and Company,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
Rodman & Renshaw.WestPark Capital,Rodman & Renshaw Inc,88,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
BofA Merrill Lych,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
 Oak Ridge Financial,BC Financial,86,BC Financial,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 JMP Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
"Goldman, Sachs & Co.",Goldman Sachs & Co,100,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 J .P. Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 J.P. Morgan Securities,Wedbush Morgan Securities,89,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
 Merrrill Lynch,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Credit Suisse.BofA Merrill Lynch,Credit Suisse,100,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
Ladenberg Thalmann,Ladenburg Thalmann & Co,87,Ladenburg Thalmann & Co,5.0,6.0,6.001,6.001,6.001,6.001,6.001,,,
Cantor Fitzgerald ,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
Newbridge,Newbridge Securities,100,Newbridge Securities,-9.0,-9.0,-9.0,2.001,2.001,2.001,2.001,,,
 RenCap,Reich,55,Reich,-9.0,4.0,4.001,-9.0,-9.0,-9.0,-9.0,,,
" Stifel, Nicolaus ",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
"Morgan Stanley, Goldman, Sachs",Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Feltl & Company,Feltl & Co,77,Feltl & Co,-9.0,-9.0,-9.0,4.001,4.001,4.001,4.001,4.001,,
 KKR,KKR Capital,100,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
Stifel,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
CICc,China International Capital Corp (CICC),100,China International Capital Corp (CICC),-9.0,-9.0,7.001,8.001,8.001,8.001,8.001,8.001,8.501,
 Compass Point,Tasin & Company,62,Tasin & Company,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Feltl,Feltl & Co,100,Feltl & Co,-9.0,-9.0,-9.0,4.001,4.001,4.001,4.001,4.001,,
Merriman Curhan Ford,Merriman Curhan Ford & Co.,100,Merriman Curhan Ford & Co.,-9.0,-9.0,-9.0,-9.0,4.001,4.001,4.001,,,
Gilford Securities,Gilford Securities,100,Gilford Securities,1.001,2.0,1.001,1.001,1.001,1.001,-9.0,,,
 Barrett & Company,Barrett,100,Barrett,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.001,,
Rodman & Renshaw (a Unit of H.C. Wainwright & Co.),Rodman & Renshaw Inc,88,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
US Bancorp Piper Jaffray,US Bancorp Piper Jaffray,100,US Bancorp Piper Jaffray,-9.0,-9.0,7.001,7.001,-9.0,-9.0,-9.0,,,
BofA Merrill Lynch,Merrill Lynch White Weld Cptl,84,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Lehamn Brothers,Lehman Brothers,93,Lehman Brothers,-9.0,9.001,9.001,8.001,8.001,8.001,-9.0,,,
 Morgan Stanley ,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Benchmark,The Benchmark Company,100,The Benchmark Company,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,4.001,
Goldman Sacha (Asia),Goldman Sachs Asia,94,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
ViewTrade Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 Credit Suisse Securities,Credit Suisse,100,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
 DNB Markets,Citigroup Global Markets Inc,78,Citigroup Global Markets Inc,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,9.001,9.001,9.001,
ThinkEquity (a division of Fordham Financial Management ),BC Financial,86,BC Financial,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 Lake Street,State Street Capital Markets,71,State Street Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Taglich Brothers,"Taglich Brothers, Inc.",100,"Taglich Brothers, Inc.",-9.0,-9.0,-9.0,-9.0,2.001,2.001,-9.0,,,
Cantor Fitzgerald & Co.,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
Banc of America Securities,Banc of America Securities LLC,100,Banc of America Securities LLC,-9.0,-9.0,8.001,8.001,8.001,8.001,-9.0,,,
 Sterne Agee,Sterne Agee & Leach Inc,100,Sterne Agee & Leach Inc,-9.0,4.001,5.001,5.001,-9.0,-9.0,5.001,,,acquired by Stifel in 2015
Jefferies Broadview,Jefferies & Co Inc,72,Jefferies & Co Inc,-9.0,5.333,5.001,5.001,5.001,6.001,8.001,8.001,8.001,
 AMTD Global Markets,AMTD Global Markets,100,AMTD Global Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.501,
Credit Suisse First Boston,Credit Suisse First Boston,100,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
 J.P.Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
  RBC Capital Markets,RBC Capital Markets,100,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
Paulson Investment Company,Paulson Investment Co,92,Paulson Investment Co,4.0,5.0,3.001,3.001,3.001,3.001,3.001,3.001,,
Credit Suiss,Credit Suisse,96,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
Feltl and Company,Reinheimer and Company,79,Reinheimer and Company,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,-9.0,,,
"Ferris, Baker, Watts","Ferris, Baker Watts",100,"Ferris, Baker Watts",-9.0,-9.0,5.001,5.001,5.001,5.001,-9.0,,,
Dutsche Bank,Deutsche Bank AG,86,Deutsche Bank AG,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
 EarlyBirdCapita,Earlybirdcapital Inc,86,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
 KeyBanc Capital Markets,KeyBanc Capital Markets ,100,KeyBanc Capital Markets ,-9.0,-9.0,-9.0,-9.0,5.001,5.001,6.001,6.001,,
 Height Capital Markets,Knight Capital Markets,91,Knight Capital Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,,
Prudential Vector Healthcare,Prudential Vector Healthcare,100,Prudential Vector Healthcare,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
DeutscheBanc Alex. Brown,Deutsche Banc Alex Brown,81,Deutsche Banc Alex Brown,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
 China Int'l,China International Capital Corp (CICC),62,China International Capital Corp (CICC),-9.0,-9.0,7.001,8.001,8.001,8.001,8.001,8.001,8.501,
 AMTD Tiger,Tiger Brokers,67,Tiger Brokers,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.001,
Sandler O’Neill + Partners,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
 FBR,B-Riley-FBR,100,B-Riley-FBR,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,5.001,
Axiom,Axiom-Cap,100,Axiom-Cap,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,4.001,4.001,
Brenner Securities,Brenner Securities,100,Brenner Securities,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Wells Fargo,Wells Fargo,100,Wells Fargo,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,8.001,8.001,8.001,
EarlyBirdCapita,Earlybirdcapital Inc,86,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
Sandler O'Neill & Partners,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
 Mizuho Securities,Mizuho Securities,100,Mizuho Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.501,7.501,
 BMO Capital Markets,BMO Capital Markets,100,BMO Capital Markets,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,
 Macquarie Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
" Stifel, Nicolaus Weisel",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Dougherty & Company,Gunn & Company,74,Gunn & Company,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Robert W. Baird,Robert W Baird & Co Inc,100,Robert W Baird & Co Inc,6.5,5.75,7.001,7.001,7.001,7.001,-9.0,,,
SANDLER O'NEILL + PARTNERS,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Credit Siusse,Credit Suisse,92,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
Jefferirs,Jefferies & Co Inc,64,Jefferies & Co Inc,-9.0,5.333,5.001,5.001,5.001,6.001,8.001,8.001,8.001,
 China Renaissance Securities,Renaissance Securities,100,Renaissance Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,,
Sunrise Securities,Sunrise Securities,100,Sunrise Securities,-9.0,-9.0,-9.0,1.001,1.001,1.001,-9.0,,,
RBC Capital,RBC Capital Markets,100,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
Morgan Stanley,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Nomura,Nomura Securities New York Inc,100,Nomura Securities New York Inc,-9.0,9.001,9.001,-9.0,-9.0,-9.0,-9.0,,,
 JPMorgan,JP Morgan (JPM),76,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
Pacific Growth Equities,Pacific Growth Equities Inc,100,Pacific Growth Equities Inc,-9.0,-9.0,1.001,4.001,4.001,4.001,-9.0,,,
W.R. Hambracht,W.R. Hambrecht & Company,71,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
 CICC,China International Capital Corp (CICC),100,China International Capital Corp (CICC),-9.0,-9.0,7.001,8.001,8.001,8.001,8.001,8.001,8.501,
 Needham,Needham & Co Inc,100,Needham & Co Inc,-9.0,6.0,5.001,5.001,5.001,5.001,-9.0,5.001,5.001,
UBS Securities,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
 Goldman Sachs (Asia),Goldman Sachs Asia,100,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
"Rodman & Renshaw, LLC",Rodman & Renshaw Inc,89,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
BofA,J. B. Oxford,43,J. B. Oxford,-9.0,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,,,
MDB Capital Group LLC,MDB-Capital,100,MDB-Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.001,4.001,,
 Janney Montgomery Scott,Janney Montgomery Scott Inc,100,Janney Montgomery Scott Inc,5.0,6.0,7.001,7.001,5.001,5.001,-9.0,,,
HSBC,HSBC,100,HSBC,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,8.001,8.001,8.001,
 Raymond James ,Raymond James & Associates Inc,100,Raymond James & Associates Inc,4.0,5.625,7.001,7.001,7.001,7.001,7.001,7.501,7.501,
CIBC Worldwide,CIBC World Markets,62,CIBC World Markets,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,,,
WR Hambrecht+Co.,W.R. Hambrecht & Company,78,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
 Fosun Hani,"Bond, Richman",55,"Bond, Richman",2.001,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Legend Merchant Group,Legend Merchant Group,100,Legend Merchant Group,-9.0,-9.0,-9.0,-9.0,3.001,3.001,-9.0,,,
Wachovia Securities,Wachovia Securities Inc,100,Wachovia Securities Inc,-9.0,-9.0,7.001,7.001,7.001,7.001,-9.0,,,
ThinkEquity Partners,Thinkequity Partners LLC,100,Thinkequity Partners LLC,-9.0,-9.0,-9.0,-9.0,5.001,5.001,-9.0,,,
Sandler ONeill + Partners,Sandler O'Neill Partners,94,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Rodman & Renshaw,Rodman & Renshaw Inc,100,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
 BofA Merrill Lynch Credit Suisse,Credit Suisse,100,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
 Deutsche Bank Secutities,Deutsche Bank AG,90,Deutsche Bank AG,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
SoundView Technology,Soundview Technology Group,100,Soundview Technology Group,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,,,
" Goldman, Sachs & Co.",Goldman Sachs & Co,100,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
Piper Jaffrey,Piper Jaffray Inc,80,Piper Jaffray Inc,-9.0,-9.0,7.001,-9.0,7.001,7.001,7.501,7.501,7.501,
Thomas Weisel Partners,Thomas Weisel Partners LLC,100,Thomas Weisel Partners LLC,-9.0,-9.0,8.001,8.001,8.001,7.001,7.001,,,
D.A. Davidson,Kashner Davidson Securities,80,Kashner Davidson Securities,-9.0,3.001,3.001,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,
 Jefferies & Company,Ferris & Company,84,Ferris & Company,5.001,5.13,5.001,-9.0,-9.0,-9.0,-9.0,,,
Anderson & Strudrick,Anderson & Strudwick,94,Anderson & Strudwick,-9.0,-9.0,4.001,-9.0,3.001,3.001,3.001,-9.0,-9.0,
  Morgan Stanley,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
 Santander,Santander Investment Bank,100,Santander Investment Bank,-9.0,-9.0,7.001,-9.0,-9.0,9.001,7.501,8.001,8.001,
 Stifel Nicolaus Weisel,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Cowen,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
 Stephens,"Robertson, Colman & Stephens",100,"Robertson, Colman & Stephens",5.001,8.75,-9.0,-9.0,-9.0,-9.0,-9.0,,,
"Keefe, Bruyette & Woods",Keefe Bruyette & Woods Inc,100,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
 Newbridge Securities Corporation,Newbridge Securities,100,Newbridge Securities,-9.0,-9.0,-9.0,2.001,2.001,2.001,2.001,,,
Roth Capital Management,Cardinal Capital Management,88,Cardinal Capital Management,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Aegis Capital,Aegis Capital,100,Aegis Capital,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,3.001,3.001,3.001,
GunnAllen,GunnAllen Financial Inc,100,GunnAllen Financial Inc,-9.0,-9.0,3.001,3.001,3.001,3.001,-9.0,,,
 Deutsche Bank Securitie,Deutsche Bank AG,90,Deutsche Bank AG,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
Friedman Billings Ramsey,Friedman Billings Ramsey Group,100,Friedman Billings Ramsey Group,-9.0,-9.0,5.001,5.001,5.001,5.001,5.001,5.001,,
ING,ING,100,ING,-9.0,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,,,
Stifel Nicolaus,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Wedbush Morgan Securities,Wedbush Morgan Securities,100,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
 Leerink Swann,Leerink Swann & Co.,100,Leerink Swann & Co.,-9.0,-9.0,4.001,-9.0,-9.0,5.001,6.001,7.001,,
WR Hambrecht+Co,W.R. Hambrecht & Company,78,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
"Roth Capital Partners, LLC",Roth Capital Partners Inc,92,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
China Inter'l,"Richter, Cohen",62,"Richter, Cohen",-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
" Goldman, Sachs & Co. ",Goldman Sachs & Co,100,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
Robertson Stephens,"Robertson, Colman & Stephens",100,"Robertson, Colman & Stephens",5.001,8.75,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Network 1 Financial Securities,Network 1 Financial Securities,100,Network 1 Financial Securities,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
 Barclays,Barclays Capital,100,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
Maxim Group LLC,Maxim Group LLC,100,Maxim Group LLC,-9.0,-9.0,-9.0,2.001,3.001,3.001,3.001,3.001,3.001,
 Wells Fargo,Wells Fargo,100,Wells Fargo,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,8.001,8.001,8.001,
Sandler O'Niell & Partners,Sandler O'Neill Partners,96,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
 Berenberg,"Shoenberg, Hieber",72,"Shoenberg, Hieber",1.0,2.001,2.001,-9.0,-9.0,-9.0,-9.0,,,
CRT Capital,KKR Capital,82,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
 Leerink Partners ,Leerink-SVB,78,Leerink-SVB,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,7.001,
Oppenheimer & Co.,Oppenheimer & Co Inc,100,Oppenheimer & Co Inc,7.5,7.875,8.001,-9.0,7.001,7.001,7.001,7.001,,
 National Bank of Canada Financial,National Bank Financial Inc,92,National Bank Financial Inc,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,,,
 J .P. Morgan Securities,Wedbush Morgan Securities,89,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
 Joseph Gunnar,"Joseph Gunnar & Co., LLC",100,"Joseph Gunnar & Co., LLC",-9.0,-9.0,4.001,-9.0,3.001,3.001,-9.0,,,
Dain Rauscher Wessels,Dain Rauscher Wessels,100,Dain Rauscher Wessels,-9.0,-9.0,7.001,7.001,-9.0,-9.0,-9.0,,,
Deutsche Banc Alex. Brown,Deutsche Banc Alex Brown,100,Deutsche Banc Alex Brown,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
AG Edwards & Sons,AG Edwards & Sons Inc,100,AG Edwards & Sons Inc,6.5,8.0,7.001,7.001,7.001,7.001,-9.0,-9.0,-9.0,
GS,UBS AG,50,UBS AG,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
 HSBC,HSBC,100,HSBC,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,8.001,8.001,8.001,
WestPark Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
 Mitsubishi UFJ Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
DBAB,Mediobanca,43,Mediobanca,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
 AMTD,AMTD Global Markets,100,AMTD Global Markets,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.501,
JMP Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 J.P. Morgan RBC Capital Markets,RBC Capital Markets,100,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
" Keefe, Bruyette & Woods",Keefe Bruyette & Woods Inc,100,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
 Goldman Sachs Japan,Goldman Sachs & Co,90,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
" Sandler O’Neill + Partners, L.P",Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
